OBJECTID;Anlage;Adresse;Typ;Gruppe;Lon;Lat
271;ACT Fitness Studio Tivoli GmbH;Stadionstraße 1;Fitnesscenter;Fitness/Klettern;11,412258996;47,255910166
272;Inn-Lauf-Meilen;Karwendel Brücke bis New-Orleans-Brücke;Fitnessparkour;Fitness/Klettern;11,410334652;47,280359627
273;Body and Soul;Mitterweg 16;Fitnesscenter;Fitness/Klettern;11,376018038;47,259698566
274;Spielplatz SOS - Kinderdorf;Hermann-Gmeiner-Straße 51;Sportplatz;Spielplatz;11,446448543;47,260432682
275;Skigebiet Nordpark;Höhenstraße 145;Skigebiet;Wintersport;11,379665803;47,307607107
276;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Sportplatz;Spielplatz;11,400411154;47,276106687
277;Sportkegelbahn VS Fischerstraße;Franz-Fischer-Straße 38;Kegelbahn;Sporthalle;11,389326458;47,258731539
278;Sporthalle VS Fischerstraße;Franz-Fischer-Straße 38;Sporthalle;Sporthalle;11,389209826;47,25887081
279;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11,414256053;47,255090923
280;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11,415164986;47,255245411
281;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11,416150724;47,255380733
282;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;11,407587947;47,259712708
283;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;11,407547555;47,259836321
284;Happy Fitness;Mitterweg 21;Fitnesscenter;Fitness/Klettern;11,376139863;47,258167994
285;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;11,388896968;47,265216564
286;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;11,389280768;47,265022803
287;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;11,391511036;47,264069525
288;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;11,391244297;47,264029025
289;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;11,385931421;47,272308536
290;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;11,38595512;47,272107129
291;Judozentrum Innsbruck;Franz-Fischer-Straße 7c;Sporthalle;Sporthalle;11,39554619;47,258011899
292;Sporthalle Akademisches Gymnasium Innsbruck;Angerzellgasse 14;Sporthalle;Sporthalle;11,396964829;47,268048199
293;Sporthalle BG/BRG Sillgasse;Sillgasse 10;Sporthalle;Sporthalle;11,399071604;47,267338777
294;City Squash and Fitness;Hunoldstraße 5;Fitnesscenter;Fitness/Klettern;11,406158318;47,263404985
295;City Squash and Fitness;Hunoldstraße 5;Squashhalle;Tennis/Squash;11,405975241;47,263274859
296;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;11,415523281;47,271303753
297;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;11,415847872;47,270977765
298;Body and Soul Women;Amraser-See-Straße 60;Fitnesscenter;Fitness/Klettern;11,430664191;47,263464884
299;Vereinsheim Arzl;Schusterbergweg 15;Sporthalle;Sporthalle;11,431694772;47,281797463
300;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;11,421336149;47,264756
301;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;11,421902961;47,263906571
302;Tennisclub IEV;Reichenauer Straße 144;Beachvolleyballplatz;Funsport;11,42694038;47,273620145
303;Sportanlage Hötting West;Franz-Baumann-Weg 8;Leichtathletikanlage;Sonstiges;11,343610953;47,266998398
304;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;11,34396439;47,267043996
305;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;11,343171244;47,266908657
306;Sportanlage Hötting West;Franz-Baumann-Weg 8;Basketballplatz;Funsport;11,344185265;47,266467701
307;Sportanlage Hötting West;Franz-Baumann-Weg 8;Eislauf-/Beachvolleyballpl.;Funsport;11,343895979;47,266431792
308;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11,408388814;47,255723906
309;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Basketballplatz;Funsport;11,408735026;47,256325707
310;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Fußballplatz;Fußball/Football;11,408912156;47,255784599
311;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11,40843949;47,256258329
312;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11,408744066;47,255183133
313;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11,409388162;47,255235147
314;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11,40960696;47,255088891
315;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11,408878288;47,2551338
316;Fun-Court;Olympiastraße;Sportplatz;Spielplatz;11,408030111;47,258603647
317;Fun-Court;Olympiastraße;Streetballplatz;Funsport;11,407496544;47,258570581
318;Fun-Court;Olympiastraße;Sportplatz;Spielplatz;11,40751236;47,258430897
319;Freibad Gruberhof;Heiligwasserweg;Freibad;Schwimmen;11,415301539;47,228429304
320;Olympia Golf;Badhausstraße;Golfplatz;Golf/Minigolf;11,424125162;47,224460827
