OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
127;Spielplatz Ursulinenpark;Ursulinenweg;Basketballplatz;Funsport;78138,313000000097000;236586,807299999990000;11,365484280000100;47,263504805000103
128;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sportplatz;Spielplatz;78409,447499999806000;236444,625700000990000;11,369041389000101;47,262193899000103
129;Fitness- und Karatecenter Haslwanter;Reimmichlgasse 9;Fitnesscenter;Fitness/Klettern;78336,462700000004000;236480,358100001000000;11,368083449000000;47,262523936000001
130;Tennisplatz Kranebitter Allee;Kranebitter Allee;Tennisplatz;Tennis/Squash;76913,082600000300000;236474,403800000000000;11,349278287000100;47,262638193999997
131;Innsbrucker Taekwon-do-Center;Andreas-Hofer-Straße 5;Fitnesscenter;Fitness/Klettern;80113,809100000202000;236417,931299999010000;11,391552405000100;47,261748652999998
132;Streetballplatz Arthur-Haidl-Promenade 2;Fischnalerstraße;Streetballplatz;Funsport;79242,201799999893000;236392,088800000000000;11,380033388000101;47,261621726000001
133;Sporthalle HS Müllerstraße;Müllerstraße 38;Sporthalle;Sporthalle;79846,225499999695000;236386,564999999010000;11,388011886000101;47,261499076000099
134;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81278,120000000097000;236345,420700001010000;11,406920389000000;47,260953850000099
135;Sporthalle HS Dr.-Fritz-Prior;Leopoldstraße 15;Sporthalle;Sporthalle;80510,495599999995000;236343,652299999990000;11,396779504000101;47,261032262000100
136;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81385,249800000296000;236306,487700000000000;11,408328534000100;47,260590487000101
137;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81290,309899999804000;236303,590399999000000;11,407073834000100;47,260576160000099
138;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81412,532399999895000;236270,303799999990000;11,408682371000101;47,260261706999998
139;Sporthalle VS Angergasse;Angergasse 18;Sporthalle;Sporthalle;78450,468200000003000;236255,034700001010000;11,369550121000101;47,260483976000003
140;Spielplatz Angergasse;Angergasse;Sportplatz;Spielplatz;78482,295900000303000;236195,259599999990000;11,369960110000100;47,259942611000000
141;Eisschützenclub Tivoli;Bleichenweg 54;Bocciabahn;Sonstiges;83382,336000000098000;236201,323899999000000;11,434690689000099;47,259394842000098
142;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81401,727099999800000;236189,143300000990000;11,408524892000100;47,259533157000099
143;Sporthalle VS Amras;Kirchsteig 8;Sporthalle;Sporthalle;82931,031499999604000;236094,944200000000000;11,428709363999999;47,258495165000099
144;Boccia-/Stockschießanlage Wilten West / Besele II;Innerkoflerstraße 11c;Bocciabahn;Sonstiges;79573,823200000494000;236064,822200000000000;11,384356195000100;47,258638558000101
145;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sportplatz;Spielplatz;79029,323900000207000;236048,678099999000000;11,377160604000000;47,258558945000097
146;Boccia-/Stockschießanlage Wilten West / Besele I;Innerkoflerstraße 11b;Bocciabahn;Sonstiges;79557,327100000301000;236057,823600000000000;11,384137043000100;47,258577611000099
147;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sporthalle;Sporthalle;78996,962799999907000;236051,936000001010000;11,376733693000100;47,258592127000000
148;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77760,179300000003000;236056,134199999010000;11,360396655000001;47,258777090000102
149;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77570,055700000405000;236038,158500001010000;11,357882021000099;47,258637853000003
150;Olympiahalle;Olympiastraße 10;Eishalle;Eissport;81480,382399999493000;236010,723399999990000;11,409531491000100;47,257918875000101
151;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77554,301900000297000;236031,772999999990000;11,357672809000100;47,258582282000098
152;Tiroler Wasserkraft Arena;Olympiastraße 10;Eishalle;Eissport;81561,526899999895000;236017,270900000000000;11,410604562000101;47,257967710999999
153;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77771,676500000103000;236027,978100000010000;11,360543648000100;47,258522517000102
